freq_MHz,dBuV_x
30000000.0,8.84908
30003125.0,8.89301
30006250.0,8.93859
30009375.0,8.98556
30012500.0,9.03368
30015625.0,9.08272
30018750.0,9.13236
30021875.0,9.18239
30025000.0,9.23254
30028125.0,9.28252
30031250.0,9.33213
30034375.0,9.38113
30037500.0,9.42927
30040625.0,9.47638
30043750.0,9.52228
30046875.0,9.5668
30050000.0,9.60982
30053125.0,9.65125
30056250.0,9.69102
30059375.0,9.72909
30062500.0,9.76543
30065625.0,9.80009
30068750.0,9.83311
30071875.0,9.86456
30075000.0,9.89455
30078125.0,9.9232
30081250.0,9.95067
30084375.0,9.9771
30087500.0,10.00269
30090625.0,10.02758
30093750.0,10.05202
30096875.0,10.07615
30100000.0,10.10018
30103125.0,10.12429
30106250.0,10.14865
30109375.0,10.1734
30112500.0,10.1987
30115625.0,10.22465
30118750.0,10.25137
30121875.0,10.27892
30125000.0,10.30734
30128125.0,10.33667
30131250.0,10.36688
30134375.0,10.39799
30137500.0,10.42989
30140625.0,10.46254
30143750.0,10.49584
30146875.0,10.52965
30150000.0,10.56385
30153125.0,10.59829
30156250.0,10.63277
30159375.0,10.66716
30162500.0,10.7012205
30165625.0,10.73479
30168750.0,10.76766
30171875.0,10.79963
30175000.0,10.83051
30178125.0,10.86008
30181250.0,10.88818
30184375.0,10.9146
30187500.0,10.93919
30190625.0,10.96177
30193750.0,10.98221
30196875.0,11.00037
30200000.0,11.01613
30203125.0,11.02939
30206250.0,11.04007
30209375.0,11.0481205
30212500.0,11.0535
30215625.0,11.05618
30218750.0,11.05617
30221875.0,11.05349
30225000.0,11.04817
30228125.0,11.04029
30231250.0,11.02994
30234375.0,11.0172
30237500.0,11.00221
30240625.0,10.98509
30243750.0,10.966
30246875.0,10.94511
30250000.0,10.9226
30253125.0,10.89865
30256250.0,10.87347
30259375.0,10.84726
30262500.0,10.8202505
30265625.0,10.79264
30268750.0,10.76465
30271875.0,10.73652
30275000.0,10.70846
30278125.0,10.68066
30281250.0,10.65337
30284375.0,10.62675
30287500.0,10.60102
30290625.0,10.57635
30293750.0,10.55292
30296875.0,10.53088
30300000.0,10.51035
30303125.0,10.49147
30306250.0,10.47432
30309375.0,10.45901
30312500.0,10.4456005
30315625.0,10.43412
30318750.0,10.4246
30321875.0,10.41704
30325000.0,10.41142
30328125.0,10.40771
30331250.0,10.40587
30334375.0,10.40581
30337500.0,10.40745
30340625.0,10.41066
30343750.0,10.41537
30346875.0,10.42142
30350000.0,10.42868
30353125.0,10.437
30356250.0,10.44623
30359375.0,10.45618
30362500.0,10.46672
30365625.0,10.47767
30368750.0,10.48885
30371875.0,10.50011
30375000.0,10.5113
30378125.0,10.52222
30381250.0,10.53276
30384375.0,10.54278
30387500.0,10.55213
30390625.0,10.56071
30393750.0,10.5684
30396875.0,10.57514
30400000.0,10.58084
30403125.0,10.58545
30406250.0,10.58894
30409375.0,10.5913
30412500.0,10.59252
30415625.0,10.59263
30418750.0,10.59167
30421875.0,10.58969
30425000.0,10.58681
30428125.0,10.58306
30431250.0,10.57859
30434375.0,10.5735
30437500.0,10.56792
30440625.0,10.56197
30443750.0,10.55581
30446875.0,10.54956
30450000.0,10.54339
30453125.0,10.53739
30456250.0,10.53172
30459375.0,10.52647
30462500.0,10.5217705
30465625.0,10.51768
30468750.0,10.51431
30471875.0,10.51169
30475000.0,10.5098505
30478125.0,10.5088005
30481250.0,10.50855
30484375.0,10.50908
30487500.0,10.51031
30490625.0,10.51218
30493750.0,10.51463
30496875.0,10.51752
30500000.0,10.52077
30503125.0,10.52422
30506250.0,10.52777
30509375.0,10.5312605
30512500.0,10.53454
30515625.0,10.53748
30518750.0,10.53992
30521875.0,10.54174
30525000.0,10.54281
30528125.0,10.54302
30531250.0,10.54226
30534375.0,10.54046
30537500.0,10.53754
30540625.0,10.53346
30543750.0,10.52821
30546875.0,10.5217705
30550000.0,10.51418
30553125.0,10.50546
30556250.0,10.49571
30559375.0,10.48499
30562500.0,10.47343
30565625.0,10.46117
30568750.0,10.44834
30571875.0,10.43513
30575000.0,10.42168
30578125.0,10.4082
30581250.0,10.3949
30584375.0,10.38194
30587500.0,10.36956
30590625.0,10.35793
30593750.0,10.34723
30596875.0,10.33763
30600000.0,10.32929
30603125.0,10.32237
30606250.0,10.31696
30609375.0,10.31316
30612500.0,10.31101
30615625.0,10.31058
30618750.0,10.31186
30621875.0,10.31482
30625000.0,10.31943
30628125.0,10.32557
30631250.0,10.33316
30634375.0,10.34204
30637500.0,10.35207
30640625.0,10.36308
30643750.0,10.37485
30646875.0,10.38718
30650000.0,10.39986
30653125.0,10.41264
30656250.0,10.42532
30659375.0,10.43764
30662500.0,10.44941
30665625.0,10.46039
30668750.0,10.47037
30671875.0,10.47919
30675000.0,10.48665
30678125.0,10.49259
30681250.0,10.49689
30684375.0,10.49944
30687500.0,10.50015
30690625.0,10.49894
30693750.0,10.49576
30696875.0,10.49062
30700000.0,10.48349
30703125.0,10.47443
30706250.0,10.46345
30709375.0,10.45064
30712500.0,10.43608
30715625.0,10.41988
30718750.0,10.40215
30721875.0,10.38303
30725000.0,10.36265
30728125.0,10.34113
30731250.0,10.31866
30734375.0,10.29537
30737500.0,10.27143
30740625.0,10.24696
30743750.0,10.22213
30746875.0,10.19705
30750000.0,10.17185
30753125.0,10.14665
30756250.0,10.12154
30759375.0,10.09663
30762500.0,10.07195
30765625.0,10.04759
30768750.0,10.02356
30771875.0,9.99989
30775000.0,9.9766
30778125.0,9.95366
30781250.0,9.93105
30784375.0,9.90874
30787500.0,9.88667
30790625.0,9.86479
30793750.0,9.84301
30796875.0,9.82129
30800000.0,9.79953
30803125.0,9.77764
30806250.0,9.75557
30809375.0,9.7332
30812500.0,9.71047
30815625.0,9.68731
30818750.0,9.66363049
30821875.0,9.63939
30825000.0,9.61453
30828125.0,9.589
30831250.0,9.56277
30834375.0,9.53581
30837500.0,9.50813
30840625.0,9.47971
30843750.0,9.45056
30846875.0,9.42072
30850000.0,9.3902
30853125.0,9.35906
30856250.0,9.32736
30859375.0,9.29517
30862500.0,9.26256
30865625.0,9.22961
30868750.0,9.1964
30871875.0,9.16305
30875000.0,9.12965
30878125.0,9.0963
30881250.0,9.0631
30884375.0,9.03018
30887500.0,8.99763
30890625.0,8.96556
30893750.0,8.93407
30896875.0,8.90324
30900000.0,8.87319
30903125.0,8.84397
30906250.0,8.81566
30909375.0,8.78831
30912500.0,8.76199
30915625.0,8.73671
30918750.0,8.71251
30921875.0,8.68938
30925000.0,8.6673
30928125.0,8.64627
30931250.0,8.62625
30934375.0,8.60719
30937500.0,8.589
30940625.0,8.57165051
30943750.0,8.55502
30946875.0,8.53903
30950000.0,8.52359
30953125.0,8.50858
30956250.0,8.49392
30959375.0,8.47948
30962500.0,8.46519
30965625.0,8.45091
30968750.0,8.4366
30971875.0,8.42215
30975000.0,8.40752
30978125.0,8.39261
30981250.0,8.37743
30984375.0,8.36192
30987500.0,8.34608
30990625.0,8.32993
30993750.0,8.31353
30996875.0,8.29687
31000000.0,8.28007
31003125.0,8.26319
31006250.0,8.24634
31009375.0,8.22961
31012500.0,8.21318
31015625.0,8.19717
31018750.0,8.18172
31021875.0,8.16703
31025000.0,8.15323
31028125.0,8.14049
31031250.0,8.12897
31034375.0,8.11886
31037500.0,8.11029
31040625.0,8.1034
31043750.0,8.0983
31046875.0,8.09511
31050000.0,8.0939
31053125.0,8.09476
31056250.0,8.0977
31059375.0,8.10275
31062500.0,8.10989
31065625.0,8.11906052
31068750.0,8.1302
31071875.0,8.14321
31075000.0,8.15797
31078125.0,8.17435
31081250.0,8.19215
31084375.0,8.21121
31087500.0,8.23132
31090625.0,8.25227
31093750.0,8.27383
31096875.0,8.29578
31100000.0,8.3179
31103125.0,8.33993
31106250.0,8.36169
31109375.0,8.38295
31112500.0,8.4035
31115625.0,8.42317
31118750.0,8.44176
31121875.0,8.45917
31125000.0,8.47522
31128125.0,8.48983
31131250.0,8.5029
31134375.0,8.51439
31137500.0,8.52425
31140625.0,8.53247
31143750.0,8.53906
31146875.0,8.54404
31150000.0,8.54748
31153125.0,8.54945
31156250.0,8.55005
31159375.0,8.54936
31162500.0,8.54752
31165625.0,8.54464
31168750.0,8.54088
31171875.0,8.53636
31175000.0,8.53125
31178125.0,8.52568
31181250.0,8.51978
31184375.0,8.51369
31187500.0,8.50758
31190625.0,8.50151
31193750.0,8.49562
31196875.0,8.49001
31200000.0,8.48473
31203125.0,8.47986
31206250.0,8.47546
31209375.0,8.47155
31212500.0,8.46815
