freq_MHz,dBuV_z
30000000.0,9.37846
30003125.0,9.32412
30006250.0,9.26202
30009375.0,9.24643
30012500.0,9.3709
30015625.0,9.49567
30018750.0,9.62016
30021875.0,9.74378
30025000.0,9.86586
30028125.0,9.9857
30031250.0,10.10266
30034375.0,10.21603
30037500.0,10.32514
30040625.0,10.42934
30043750.0,10.52799
30046875.0,10.62051
30050000.0,10.70631
30053125.0,10.78488
30056250.0,10.8557205
30059375.0,10.91836
30062500.0,10.9724
30065625.0,11.01746
30068750.0,11.05319
30071875.0,11.07931
30075000.0,11.09557
30078125.0,11.21089
30081250.0,11.36384
30084375.0,11.5024
30087500.0,11.6259
30090625.0,11.73381
30093750.0,11.82578
30096875.0,11.90164
30100000.0,11.9613905
30103125.0,12.00516
30106250.0,12.03337
30109375.0,12.10705
30112500.0,12.24913
30115625.0,12.37505
30118750.0,12.48465
30121875.0,12.57791
30125000.0,12.65489
30128125.0,12.71574
30131250.0,12.76068
30134375.0,12.79006
30137500.0,12.80427
30140625.0,12.80376
30143750.0,12.78906
30146875.0,12.76079
30150000.0,12.71956
30153125.0,12.66612
30156250.0,12.60119
30159375.0,12.52555
30162500.0,12.44001
30165625.0,12.3454
30168750.0,12.24257
30171875.0,12.13236
30175000.0,12.01562
30178125.0,11.89318
30181250.0,11.76585
30184375.0,11.63437
30187500.0,11.58021
30190625.0,11.59882
30193750.0,11.60904
30196875.0,11.60892
30200000.0,11.59673
30203125.0,11.5709
30206250.0,11.53006
30209375.0,11.47306
30212500.0,11.3988905
30215625.0,11.30674
30218750.0,11.19592
30221875.0,11.06594
30225000.0,10.91643
30228125.0,10.74715
30231250.0,10.55807
30234375.0,10.34927
30237500.0,10.37395
30240625.0,10.4875
30243750.0,10.60123
30246875.0,10.71366
30250000.0,10.82344
30253125.0,10.92925
30256250.0,11.02994
30259375.0,11.12442
30262500.0,11.21175
30265625.0,11.29109
30268750.0,11.36174
30271875.0,11.4231
30275000.0,11.47469
30278125.0,11.51611
30281250.0,11.5471
30284375.0,11.56746
30287500.0,11.5771
30290625.0,11.576
30293750.0,11.5642
30296875.0,11.54184
30300000.0,11.5091
30303125.0,11.46619
30306250.0,11.41342
30309375.0,11.3511
30312500.0,11.27961
30315625.0,11.19931
30318750.0,11.11061
30321875.0,11.08318
30325000.0,11.14281
30328125.0,11.1896105
30331250.0,11.22314
30334375.0,11.24307
30337500.0,11.24906
30340625.0,11.24078
30343750.0,11.21799
30346875.0,11.18037
30350000.0,11.12765
30353125.0,11.05962
30356250.0,10.97598
30359375.0,10.87649
30362500.0,10.76086
30365625.0,10.62884
30368750.0,10.48016
30371875.0,10.31448
30375000.0,10.13155
30378125.0,9.9397
30381250.0,9.82884
30384375.0,9.87955
30387500.0,9.97984
30390625.0,10.07997
30393750.0,10.17899
30396875.0,10.27589
30400000.0,10.36967
30403125.0,10.45934
30406250.0,10.54398
30409375.0,10.62263
30412500.0,10.6944
30415625.0,10.75847
30418750.0,10.81404
30421875.0,10.86035
30425000.0,10.89673
30428125.0,10.92256
30431250.0,10.93725
30434375.0,10.9403
30437500.0,10.93129
30440625.0,10.90985
30443750.0,10.8757105
30446875.0,10.89513
30450000.0,11.0015
30453125.0,11.23382
30456250.0,11.44087
30459375.0,11.62323
30462500.0,11.78142
30465625.0,11.91589
30468750.0,12.02707
30471875.0,12.11533
30475000.0,12.18102
30478125.0,12.22446
30481250.0,12.2459
30484375.0,12.24563
30487500.0,12.22384
30490625.0,12.18075
30493750.0,12.15919
30496875.0,12.162
30500000.0,12.15516
30503125.0,12.13917
30506250.0,12.1146
30509375.0,12.08206
30512500.0,12.04222
30515625.0,11.99574
30518750.0,11.94334
30521875.0,11.88575
30525000.0,11.82374
30528125.0,11.75803
30531250.0,11.6894
30534375.0,11.61855
30537500.0,11.54623
30540625.0,11.49618
